Variable,F_statistic,p_value,Significativo,n_grupos,Interpretacion,Estadisticas_grupos
Fuerza_Medida_N,0.0004,0.999989,No,4,No hay diferencias significativas entre grupos,"[{'Tipo_Prueba': 'Fuerza', 'n': 25, 'Media': np.float64(5.6419999999999995), 'Std': np.float64(2.220673696576484), 'Min': np.float64(1.95), 'Max': np.float64(9.25)}, {'Tipo_Prueba': 'Repetibilidad', 'n': 25, 'Media': np.float64(5.6579999999999995), 'Std': np.float64(2.220110732974071), 'Min': np.float64(2.1), 'Max': np.float64(9.2)}, {'Tipo_Prueba': 'Slip', 'n': 25, 'Media': np.float64(5.6579999999999995), 'Std': np.float64(2.2105184158171283), 'Min': np.float64(2.0), 'Max': np.float64(9.25)}, {'Tipo_Prueba': 'Tiempo', 'n': 25, 'Media': np.float64(5.644), 'Std': np.float64(2.1993521773467752), 'Min': np.float64(1.95), 'Max': np.float64(9.3)}]"
Tiempo_Respuesta_ms,1.8814,0.137866,No,4,No hay diferencias significativas entre grupos,"[{'Tipo_Prueba': 'Fuerza', 'n': 25, 'Media': np.float64(331.36), 'Std': np.float64(14.74754216810381), 'Min': np.int64(295), 'Max': np.int64(352)}, {'Tipo_Prueba': 'Repetibilidad', 'n': 25, 'Media': np.float64(329.16), 'Std': np.float64(12.605157674539418), 'Min': np.int64(306), 'Max': np.int64(354)}, {'Tipo_Prueba': 'Slip', 'n': 25, 'Media': np.float64(330.04), 'Std': np.float64(10.265151403332213), 'Min': np.int64(304), 'Max': np.int64(345)}, {'Tipo_Prueba': 'Tiempo', 'n': 25, 'Media': np.float64(323.6), 'Std': np.float64(11.75443178833697), 'Min': np.int64(305), 'Max': np.int64(354)}]"
Overshoot_pct,0.2384,0.869383,No,4,No hay diferencias significativas entre grupos,"[{'Tipo_Prueba': 'Fuerza', 'n': 25, 'Media': np.float64(-2.2877521793409277), 'Std': np.float64(3.432526769264002), 'Min': np.float64(-11.538461538461549), 'Max': np.float64(3.448275862068969)}, {'Tipo_Prueba': 'Repetibilidad', 'n': 25, 'Media': np.float64(-1.6596831225661877), 'Std': np.float64(2.9367216757789447), 'Min': np.float64(-10.526315789473681), 'Max': np.float64(1.8867924528301987)}, {'Tipo_Prueba': 'Slip', 'n': 25, 'Media': np.float64(-1.6036771462202213), 'Std': np.float64(3.223298138506348), 'Min': np.float64(-7.692307692307699), 'Max': np.float64(4.87804878048781)}, {'Tipo_Prueba': 'Tiempo', 'n': 25, 'Media': np.float64(-2.010378711626587), 'Std': np.float64(3.4973555218083514), 'Min': np.float64(-11.538461538461549), 'Max': np.float64(3.448275862068969)}]"
Error_Fuerza_N,0.3018,0.824049,No,4,No hay diferencias significativas entre grupos,"[{'Tipo_Prueba': 'Fuerza', 'n': 25, 'Media': np.float64(-0.558), 'Std': np.float64(0.07994789970140961), 'Min': np.float64(-0.6999999999999997), 'Max': np.float64(-0.40000000000000036)}, {'Tipo_Prueba': 'Repetibilidad', 'n': 25, 'Media': np.float64(-0.5420000000000001), 'Std': np.float64(0.07170541588099655), 'Min': np.float64(-0.6999999999999997), 'Max': np.float64(-0.4499999999999993)}, {'Tipo_Prueba': 'Slip', 'n': 25, 'Media': np.float64(-0.542), 'Std': np.float64(0.08741662694628899), 'Min': np.float64(-0.7000000000000002), 'Max': np.float64(-0.39999999999999947)}, {'Tipo_Prueba': 'Tiempo', 'n': 25, 'Media': np.float64(-0.556), 'Std': np.float64(0.07681145747868602), 'Min': np.float64(-0.6500000000000004), 'Max': np.float64(-0.40000000000000036)}]"
